Field=Quantity~Integer~Quantity~21|Field=Designator~String~Designator~82|Field=DB_DESCRIPTION~String~DB_DESCRIPTION~183|Field=DB_PACKAGE~String~DB_PACKAGE~103|Field=DB_T_RANGE~String~DB_T_RANGE~108|Field=DB_PART_NUMBER~String~DB_PART_NUMBER~107|Field=DB_MANUFACTURER_PART~String~DB_MANUFACTURER_PART~186|Field=DB_DATASHEET~String~DB_DATASHEET~210|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Avalon_4_Rev01.PrjPCB|ReportField=ProjectFullPath~D:\Projects\AltiumProjects\Avalon_4_Rev01\Avalon_4_Rev01.PrjPCB|ReportField=Title~Bill of Materials For Project [Avalon_4_Rev01.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~1146|ReportField=ReportTime~15:16:41|ReportField=ReportDate~08.10.2014|ReportField=ReportDateTime~08.10.2014 15:16:41|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Drawing Type|ReportField=Address2~Address 1|ReportField=Address3~Address 2|ReportField=Address4~Address 3|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~Integrated Micro-Electronics Bulgaria|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~08.10.2014|ReportField=CurrentTime~15:14:32|ReportField=Date~Date|ReportField=DocumentFullPathAndName~D:\Projects\AltiumProjects\Avalon_4_Rev01\Block.SchDoc|ReportField=DocumentName~Block.SchDoc|ReportField=DocumentNumber~730xxx|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~24.09.2014|ReportField=Organization~Design & Development Department|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.70|XCorrection=1.00|YCorrection=1.00|PrintKind=2|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-4|MediaType=1|DitherType=10|PaperKind=11" x 17"|PrintScaleMode=1|ReportField=ProjectName~Avalon_4_Rev01.PrjPCB|ReportField=Revision~01|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetSize~A3|ReportField=SheetTotal~1|ReportField=Time~Time|ReportField=Title~Title|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Avalon_4_Rev01.PrjPCB|ReportField=DataSourceFullPath~D:\Projects\AltiumProjects\Avalon_4_Rev01\Avalon_4_Rev01.PrjPCB
459|C14, C16, C19, C22, C23, C26, C27, C30, C31, C36, C42, C43, C44, C45, C62, C63, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C86, C87, C90, C91, C94, C95, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C118, C119, C122, C123, C126, C127, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C166, C167, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189, C190, C191, C192, C193, C194, C195, C196, C227, C228, C229, C230, C231, C233, C234, C323, C324, C325, C326, C327, C328, C329, C330, C331, C332, C333, C334, C335, C336, C337, C338, C339, C340, C341, C342, C343, C344, C345, C346, C353, C354, C355, C356, C357, C358, C359, C360, C361, C362, C363, C364, C365, C366, C367, C368, C369, C370, C371, C372, C373, C374, C375, C376, C444, C445, C446, C447, C448, C449, C450, C451, C452, C453, C454, C455, C456, C457, C458, C459, C460, C461, C462, C463, C464, C465, C466, C467, C468, C469, C470, C471, C472, C473, C474, C475, C476, C477, C478, C479, C480, C481, C482, C483, C484, C485, C486, C487, C488, C489, C490, C491, C492, C493, C494, C495, C496, C497, C498, C499, C500, C501, C502, C503, C504, C505, C506, C507, C508, C509, C510, C511, C512, C513, C514, C515, C516, C517, C518, C519, C520, C521, C522, C523, C524, C525, C526, C527, C528, C529, C530, C531, C532, C533, C534, C535, C536, C537, C538, C539, C540, C541, C542, C543, C544, C545, C546, C547, C548, C549, C550, C551, C552, C553, C554, C555, C556, C557, C558, C559, C560, C561, C562, C563, C564, C565, C566, C567, C568, C569, C570, C571, C572, C573, C574, C575, C576, C577, C578, C579, C580, C581, C582, C583, C584, C585, C586, C587, C588, C589, C590, C591, C652, C654, C655, C657, C658, C660, C661, C663, C664, C666, C667, C669, C670, C672, C673, C675, C676, C678, C679, C681, C742, C744, C745, C747, C748, C750, C751, C753, C754, C756, C757, C759, C760, C762, C763, C765, C766, C768, C769, C771, C832, C834, C835, C837, C838, C840, C841, C843, C844, C846, C847, C849, C850, C852, C853, C855, C856, C858, C859, C861, C922, C924, C925, C927, C928, C930, C931, C933, C934, C936, C937, C939, C940, C942, C943, C945, C946, C948, C949, C951, C952, C954, C955, C957, C958, C960, C961, C963, C964, C966, C967, C969, C970, C972, C973, C975, C976, C978, C979, C981, C982, C984, C985, C987, C988, C990, C991, C993, C994, C996, C997, C999, C1000, C1002, C1003, C1005, C1006, C1008, C1009, C1011, C1012, C1014, C1015, C1017, C1018, C1020, C1021, C1023, C1024, C1026, C1027, C1029, C1030, C1032, C1033, C1035, C1036, C1038, C1039, C1041, C1042, C1044, C1045, C1047, C1048, C1050, C1051, C1053, C1054, C1056, C1057, C1059, C1060, C1062, C1063, C1065, C1066, C1068, C1069, C1071|C X5R 22uF 20% 6.3V 0805|0805|-55 to 85|CAP000043686|KEMET    C0805C226M9PAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
229|C13, C34, C35, C39, C40, C41, C46, C47, C48, C49, C50, C51, C54, C55, C58, C59, C66, C67, C68, C71, C72, C73, C98, C99, C100, C103, C104, C105, C130, C131, C132, C135, C136, C137, C156, C157, C158, C159, C160, C161, C162, C163, C164, C165, C197, C198, C199, C200, C201, C202, C203, C204, C205, C206, C207, C208, C209, C210, C211, C212, C213, C214, C215, C216, C217, C218, C219, C220, C221, C222, C223, C224, C225, C226, C235, C236, C237, C238, C239, C240, C241, C242, C243, C244, C245, C246, C247, C248, C249, C252, C253, C254, C255, C256, C257, C258, C259, C260, C261, C262, C263, C264, C265, C266, C267, C268, C269, C270, C271, C272, C273, C274, C275, C276, C277, C278, C279, C280, C281, C282, C283, C284, C285, C286, C287, C350, C351, C352, C393, C394, C395, C396, C397, C398, C399, C400, C401, C408, C409, C410, C411, C412, C413, C414, C415, C416, C417, C418, C419, C653, C656, C659, C662, C665, C668, C671, C674, C677, C680, C743, C746, C749, C752, C755, C758, C761, C764, C767, C770, C833, C836, C839, C842, C845, C848, C851, C854, C857, C860, C923, C926, C929, C932, C935, C938, C941, C944, C947, C950, C953, C956, C959, C962, C965, C968, C971, C974, C977, C980, C983, C986, C989, C992, C995, C998, C1001, C1004, C1007, C1010, C1013, C1016, C1019, C1022, C1025, C1028, C1031, C1034, C1037, C1040, C1043, C1046, C1049, C1052, C1055, C1058, C1061, C1064, C1067, C1070|C X5R 220uF 20% 6.3V 1210|1210|-55 to 85|CAP000047355|SAMSUNG    CL32A227MQVNNNE|http://john.epiqdesign.com/projects/CIS_Datasheets/CAP_CL32A227MQVNNNE.pdf?rev=1401&sc=0
127|TP2, TP3, TP5, TP6, TP7, TP10, TP11, TP12, TP13, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP39, TP40, TP41, TP42, TP43, TP44, TP56, TP57, TP58, TP59, TP60, TP61, TP73, TP74, TP75, TP76, TP77, TP78, TP84, TP105, TP106, TP107, TP108, TP109, TP110, TP111, TP112, TP113, TP114, TP115, TP116, TP117, TP118, TP119, TP120, TP121, TP122, TP123, TP124, TP125, TP126, TP127, TP128, TP129, TP130, TP131, TP132, TP133, TP134, TP135, TP143, TP151, TP153, TP202, TP203, TP204, TP205, TP206, TP207, TP208, TP209, TP210, TP211, TP212, TP213, TP214, TP215, TP216, TP217, TP218, TP219, TP220, TP221, TP222, TP223, TP224, TP225, TP226, TP227, TP228, TP229, TP230, TP231, TP232, TP233, TP234, TP235, TP236, TP237, TP238, TP239, TP240, TP241, TP242, TP243, TP244, TP245, TP246, TP262, TP278, TP295, TP296, TP297, TP300, TP304|Test Point 100_254| ||TPO000000001| | 
65|C377, C378, C379, C380, C381, C382, C383, C384, C385, C386, C387, C388, C389, C390, C391, C392, C428, C429, C430, C431, C432, C433, C434, C435, C436, C437, C438, C439, C440, C441, C442, C443, C592, C598, C600, C603, C606, C640, C642, C643, C645, C646, C688, C711, C712, C714, C715, C717, C807, C808, C810, C811, C813, C814, C868, C876, C877, C879, C880, C882, C913, C915, C916, C918, C919|C X5R 10uF 10% 16V 0805|0805|-55 to 85|CAP000043636|KEMET    C0805C106K4PAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
48|C32, C33, C37, C38, C64, C65, C69, C70, C96, C97, C101, C102, C128, C129, C133, C134, C348, C349, C402, C403, C404, C405, C406, C407, C420, C421, C422, C423, C424, C425, C426, C427, C593, C596, C599, C602, C605, C686, C689, C692, C695, C776, C779, C782, C785, C866, C869, C872|C X5R 100uF 20% 6.3V 1210|1210|-55 to 85|CAP000043701|KEMET    C1210C107M9PAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
46|C4, C5, C6, C7, C8, C9, C17, C18, C168, C232, C250, C251, C288, C289, C290, C291, C292, C293, C294, C295, C296, C297, C298, C299, C300, C301, C302, C303, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313, C314, C315, C316, C317, C318, C319, C320, C321|C X7R 100nF 20% 16V 0603|0603|-55 to 125|CAP000027236|KEMET    C0603C104M4RAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
24|Q1, Q2, Q5, Q6, Q7, Q8, Q13, Q14, Q17, Q18, Q19, Q20, Q25, Q26, Q29, Q30, Q31, Q32, Q37, Q38, Q41, Q42, Q43, Q44|TRANS AP1RA03GMT-HF-3 PQFN 5x6B|PQFN 5x6B|-55 to 150|TRA000001604|ADVANCED POWER ELECTRONICS CORP      AP1RA03GMT-HF-3|http://john.epiqdesign.com/projects/CIS_Datasheets/MOS_AP1RA03GMT-3.pdf?rev=1404&sc=0
16|U1, U2, U3, U4, U13, U14, U17, U18, U21, U22, U25, U26, U30, U31, U32, U33||||||
13|J9, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24|Mounting Hole PTH_MTG400_700|||MTH000000030||
11|C2, C12, C15, C20, C21, C52, C53, C84, C85, C116, C117|C X5R 10uF 20% 6.3V 0603|0603|-55 to 85|CAP000043646|KEMET    C0603C106M9PAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
