"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"YO2","SMD_OSCCF250X320X90-4N","4540.846mil","5229.823mil","4540.846mil","5229.823mil","4501.476mil","5279.035mil","T","0.00",""
"Y1","SMD_HC49_XTAL1140X480X420N","4145.669mil","3562.992mil","4145.669mil","3562.992mil","3962.598mil","3562.992mil","T","0.00","4.00MHz HC49/4HSMX"
"U9","SMD_SOIC127P620X160-8N","4149.606mil","2586.622mil","4149.606mil","2586.614mil","4039.37mil","2661.614mil","T","0.00","BD18KA5WF-E2"
"U8","SMD_TO229P991X239-4N_DPAK","4468.504mil","2043.307mil","4468.504mil","2007.874mil","4558.661mil","2171.26mil","T","270.00","MC78M05BDTRKG"
"U6","SMD_SOIC127P620X160-8N","4141.724mil","2059.055mil","4141.732mil","2059.055mil","4066.732mil","1948.819mil","T","90.00","BD33KA5WF-E2"
"U4","SMD_QFN50P800X800X80-57N","3149.606mil","2283.465mil","3149.606mil","2283.465mil","3277.559mil","2440.945mil","T","270.00","IC_A3222Q56"
"U33","SMD_QFN50P800X800X80-57N","787.402mil","4645.669mil","787.402mil","4645.669mil","659.449mil","4488.189mil","T","90.00","IC_A3222Q56"
"U32","SMD_QFN50P800X800X80-57N","787.402mil","3858.268mil","787.402mil","3858.268mil","659.449mil","3700.787mil","T","90.00","IC_A3222Q56"
"U31","SMD_QFN50P800X800X80-57N","787.402mil","3070.866mil","787.402mil","3070.866mil","659.449mil","2913.386mil","T","90.00","IC_A3222Q56"
"U30","SMD_QFN50P800X800X80-57N","787.402mil","2283.465mil","787.402mil","2283.465mil","659.449mil","2125.984mil","T","90.00","IC_A3222Q56"
"U3","SMD_QFN50P800X800X80-57N","3149.606mil","3070.866mil","3149.606mil","3070.866mil","3277.559mil","3228.347mil","T","270.00","IC_A3222Q56"
"U29","SMD_SOIC127P620X160-8N","4149.606mil","2870.087mil","4149.606mil","2870.079mil","4039.37mil","2945.079mil","T","0.00","BD00KA5WF-E2"
"U26","SMD_QFN50P800X800X80-57N","1574.803mil","2283.465mil","1574.803mil","2283.465mil","1702.756mil","2440.945mil","T","270.00","IC_A3222Q56"
"U25","SMD_QFN50P800X800X80-57N","1574.803mil","3070.866mil","1574.803mil","3070.866mil","1702.756mil","3228.347mil","T","270.00","IC_A3222Q56"
"U24","SMD_SON45P300X200X80-9N","944.882mil","6405.512mil","944.882mil","6405.512mil","887.795mil","6432.087mil","T","0.00","LTC4449EDCB#TRPBF"
"U23","SMD_SON45P300X200X80-9N","3685.039mil","523.622mil","3685.039mil","523.622mil","3742.126mil","497.047mil","T","180.00","LTC4449EDCB#TRPBF"
"U22","SMD_QFN50P800X800X80-57N","1574.803mil","3858.268mil","1574.803mil","3858.268mil","1702.756mil","4015.748mil","T","270.00","IC_A3222Q56"
"U21","SMD_QFN50P800X800X80-57N","1574.803mil","4645.669mil","1574.803mil","4645.669mil","1702.756mil","4803.15mil","T","270.00","IC_A3222Q56"
"U20","SMD_SON45P300X200X80-9N","1889.764mil","6405.512mil","1889.764mil","6405.512mil","1832.677mil","6432.087mil","T","0.00","LTC4449EDCB#TRPBF"
"U2","SMD_QFN50P800X800X80-57N","3149.606mil","3858.268mil","3149.606mil","3858.268mil","3277.559mil","4015.748mil","T","270.00","IC_A3222Q56"
"U19","SMD_SON45P300X200X80-9N","2740.157mil","523.622mil","2740.157mil","523.622mil","2797.244mil","497.047mil","T","180.00","LTC4449EDCB#TRPBF"
"U18","SMD_QFN50P800X800X80-57N","2362.205mil","4645.669mil","2362.205mil","4645.669mil","2234.252mil","4488.189mil","T","90.00","IC_A3222Q56"
"U17","SMD_QFN50P800X800X80-57N","2362.205mil","3858.268mil","2362.205mil","3858.268mil","2234.252mil","3700.787mil","T","90.00","IC_A3222Q56"
"U16","SMD_SON45P300X200X80-9N","2834.646mil","6405.512mil","2834.646mil","6405.512mil","2777.559mil","6432.087mil","T","0.00","LTC4449EDCB#TRPBF"
"U15","SMD_SON45P300X200X80-9N","1795.276mil","523.622mil","1795.276mil","523.622mil","1852.362mil","497.047mil","T","180.00","LTC4449EDCB#TRPBF"
