"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","SMD_0603_CAPC1608X95N","4062.992mil","4397.638mil","4062.992mil","4397.638mil","4062.992mil","4366.142mil","T","90.00","1nF"
"C10","SMD_0603_CAPC1608X95N","4161.417mil","3700.787mil","4161.417mil","3700.787mil","4192.913mil","3700.787mil","T","180.00","18pF"
"C100","SMD_1210_CAPC3225X279N","2476.378mil","685.039mil","2476.378mil","685.039mil","2417.323mil","685.039mil","T","0.00","220uF"
"C1000","SMD_0805_CAPC2012X145N","2007.874mil","1708.661mil","2007.874mil","1708.661mil","2007.874mil","1673.228mil","T","90.00","22uF"
"C1001","SMD_1210_CAPC3225X279N","2519.685mil","1708.661mil","2519.685mil","1708.661mil","2519.685mil","1767.716mil","T","270.00","220uF"
"C1002","SMD_0805_CAPC2012X145N","2244.095mil","1708.661mil","2244.095mil","1708.661mil","2244.095mil","1673.228mil","T","90.00","22uF"
"C1003","SMD_0805_CAPC2012X145N","2165.354mil","1708.661mil","2165.354mil","1708.661mil","2165.354mil","1673.228mil","T","90.00","22uF"
"C1004","SMD_1210_CAPC3225X279N","2362.205mil","1708.661mil","2362.205mil","1708.661mil","2362.205mil","1767.716mil","T","270.00","220uF"
"C1005","SMD_0805_CAPC2012X145N","291.339mil","4527.559mil","291.339mil","4527.559mil","255.905mil","4527.559mil","T","0.00","22uF"
"C1006","SMD_0805_CAPC2012X145N","2322.835mil","1708.661mil","2322.835mil","1708.661mil","2322.835mil","1673.228mil","T","90.00","22uF"
"C1007","SMD_1210_CAPC3225X279N","2677.165mil","1708.661mil","2677.165mil","1708.661mil","2677.165mil","1767.716mil","T","270.00","220uF"
"C1008","SMD_0805_CAPC2012X145N","2401.575mil","1708.661mil","2401.575mil","1708.661mil","2401.575mil","1673.228mil","T","90.00","22uF"
"C1009","SMD_0805_CAPC2012X145N","2559.055mil","1708.661mil","2559.055mil","1708.661mil","2559.055mil","1673.228mil","T","90.00","22uF"
"C101","SMD_1210_CAPC3225X270N","1826.772mil","6586.614mil","1826.772mil","6586.614mil","1885.827mil","6586.614mil","T","180.00","100uF"
"C1010","SMD_1210_CAPC3225X279N","291.339mil","4488.189mil","291.339mil","4488.189mil","350.394mil","4488.189mil","T","180.00","220uF"
"C1011","SMD_0805_CAPC2012X145N","2480.315mil","1708.661mil","2480.315mil","1708.661mil","2480.315mil","1673.228mil","T","90.00","22uF"
"C1012","SMD_0805_CAPC2012X145N","2716.535mil","1708.661mil","2716.535mil","1708.661mil","2716.535mil","1673.228mil","T","90.00","22uF"
"C1013","SMD_1210_CAPC3225X279N","291.339mil","4645.669mil","291.339mil","4645.669mil","350.394mil","4645.669mil","T","180.00","220uF"
"C1014","SMD_0805_CAPC2012X145N","2637.795mil","1708.661mil","2637.795mil","1708.661mil","2637.795mil","1673.228mil","T","90.00","22uF"
"C1015","SMD_0805_CAPC2012X145N","2795.276mil","1708.661mil","2795.276mil","1708.661mil","2795.276mil","1673.228mil","T","90.00","22uF"
"C1016","SMD_1210_CAPC3225X279N","2992.126mil","1708.661mil","2992.126mil","1708.661mil","2992.126mil","1767.716mil","T","270.00","220uF"
"C1017","SMD_0805_CAPC2012X145N","2874.016mil","1708.661mil","2874.016mil","1708.661mil","2874.016mil","1673.228mil","T","90.00","22uF"
"C1018","SMD_0805_CAPC2012X145N","3031.496mil","1708.661mil","3031.496mil","1708.661mil","3031.496mil","1673.228mil","T","90.00","22uF"
"C1019","SMD_1210_CAPC3225X279N","2834.646mil","1708.661mil","2834.646mil","1708.661mil","2834.646mil","1767.716mil","T","270.00","220uF"
"C102","SMD_1210_CAPC3225X270N","1417.323mil","6559.055mil","1417.323mil","6559.055mil","1358.268mil","6559.055mil","T","0.00","100uF"
"C1020","SMD_0805_CAPC2012X145N","2952.756mil","1708.661mil","2952.756mil","1708.661mil","2952.756mil","1673.228mil","T","90.00","22uF"
"C1021","SMD_0805_CAPC2012X145N","1062.992mil","5220.472mil","1062.992mil","5220.472mil","1062.992mil","5255.905mil","T","270.00","22uF"
"C1022","SMD_1210_CAPC3225X279N","1102.362mil","5220.472mil","1102.362mil","5220.472mil","1102.362mil","5161.417mil","T","90.00","220uF"
"C1023","SMD_0805_CAPC2012X145N","1141.732mil","5220.472mil","1141.732mil","5220.472mil","1141.732mil","5255.905mil","T","270.00","22uF"
"C1024","SMD_0805_CAPC2012X145N","984.252mil","5220.472mil","984.252mil","5220.472mil","984.252mil","5255.905mil","T","270.00","22uF"
"C1025","SMD_1210_CAPC3225X279N","787.402mil","5220.472mil","787.402mil","5220.472mil","787.402mil","5161.417mil","T","90.00","220uF"
"C1026","SMD_0805_CAPC2012X145N","905.512mil","5220.472mil","905.512mil","5220.472mil","905.512mil","5255.905mil","T","270.00","22uF"
"C1027","SMD_0805_CAPC2012X145N","748.032mil","5220.472mil","748.032mil","5220.472mil","748.032mil","5255.905mil","T","270.00","22uF"
"C1028","SMD_1210_CAPC3225X279N","944.882mil","5220.472mil","944.882mil","5220.472mil","944.882mil","5161.417mil","T","90.00","220uF"
"C1029","SMD_0805_CAPC2012X145N","826.772mil","5220.472mil","826.772mil","5220.472mil","826.772mil","5255.905mil","T","270.00","22uF"
"C103","SMD_1210_CAPC3225X279N","2153.543mil","5929.134mil","2153.543mil","5929.134mil","2212.598mil","5929.134mil","T","180.00","220uF"
"C1030","SMD_0805_CAPC2012X145N","1535.433mil","5220.472mil","1535.433mil","5220.472mil","1535.433mil","5255.905mil","T","270.00","22uF"
"C1031","SMD_1210_CAPC3225X279N","1574.803mil","5220.472mil","1574.803mil","5220.472mil","1574.803mil","5161.417mil","T","90.00","220uF"
"C1032","SMD_0805_CAPC2012X145N","1614.173mil","5220.472mil","1614.173mil","5220.472mil","1614.173mil","5255.905mil","T","270.00","22uF"
"C1033","SMD_0805_CAPC2012X145N","1456.693mil","5220.472mil","1456.693mil","5220.472mil","1456.693mil","5255.905mil","T","270.00","22uF"
"C1034","SMD_1210_CAPC3225X279N","1259.842mil","5220.472mil","1259.842mil","5220.472mil","1259.842mil","5161.417mil","T","90.00","220uF"
"C1035","SMD_0805_CAPC2012X145N","1377.953mil","5220.472mil","1377.953mil","5220.472mil","1377.953mil","5255.905mil","T","270.00","22uF"
"C1036","SMD_0805_CAPC2012X145N","1220.472mil","5220.472mil","1220.472mil","5220.472mil","1220.472mil","5255.905mil","T","270.00","22uF"
"C1037","SMD_1210_CAPC3225X279N","1417.323mil","5220.472mil","1417.323mil","5220.472mil","1417.323mil","5161.417mil","T","90.00","220uF"
